path,domain,line_count,classification,merge_target,reason,risk,referenced_by
src/rendering/WaveformAnalysisOrchestrator.h,Waveform,25,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/rendering/WaveformAnalysisOrchestrator.cpp;src/rendering/WaveformAnalyzer.cpp
src/rendering/WaveformAnalyzer.cpp,Waveform,330,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/domain/TrackData.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h;src/library/LibraryAnalysisManager.cpp;src/library/LibraryAnalysisManager.h;src/rendering/WaveformAnalysisOrchestrator.cpp;src/rendering/WaveformAnalyzer.h;src/rendering/WaveformEnvelopePass.cpp
src/rendering/WaveformAnalyzer.h,Waveform,163,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/domain/TrackData.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h;src/library/LibraryAnalysisManager.cpp;src/library/LibraryAnalysisManager.h;src/rendering/WaveformAnalysisOrchestrator.cpp;src/rendering/WaveformAnalyzer.cpp;src/rendering/WaveformEnvelopePass.cpp
src/rendering/WaveformCache.cpp,Waveform,242,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckTrackLoader.cpp;src/engine/deck/DeckTrackLoader.h;src/engine/facade/FacadeIncludes.h;src/library/LibraryTrackStore.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp;src/rendering/WaveformAnalyzer.cpp;src/rendering/WaveformCache.h
src/rendering/WaveformCache.h,Waveform,23,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckTrackLoader.cpp;src/engine/deck/DeckTrackLoader.h;src/engine/facade/FacadeIncludes.h;src/library/LibraryTrackStore.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp;src/rendering/WaveformAnalyzer.cpp;src/rendering/WaveformCache.cpp
src/rendering/WaveformEnvelopePass.cpp,Waveform,1163,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/rendering/WaveformAnalyzer.cpp
src/rendering/WaveformEnvelopePass.h,Waveform,36,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/rendering/WaveformAnalyzer.cpp;src/rendering/WaveformEnvelopePass.cpp
src/waveform/WaveformLine.h,Waveform,16,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/domain/TrackData.cpp;src/rendering/RgbWaveformItem.cpp;src/waveform/WaveformLineChunk.h;src/waveform/WaveformLineStore.cpp
src/waveform/WaveformLineChunk.h,Waveform,27,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/rendering/ScrollingWaveformItem.cpp;src/waveform/WaveformLineStore.cpp;src/waveform/WaveformLineStore.h
src/waveform/WaveformLineStore.cpp,Waveform,93,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/domain/TrackData.cpp;src/domain/TrackData.h;src/rendering/ScrollingWaveformItem.cpp;src/waveform/WaveformLineStore.h
src/waveform/WaveformLineStore.h,Waveform,42,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/domain/TrackData.cpp;src/domain/TrackData.h;src/rendering/ScrollingWaveformItem.cpp;src/waveform/WaveformLineStore.cpp
